English	French	Description	Topic Area
??	le moment centré		Statistics & probability
actuator	l’actionneur		Control
algebraic	algébrique		Mathematics
amplify	amplifier		Electrical engineering
amplitude ratio	le rapport d'amplitude		Control
amplitude ratio	rapport d'amplitude		Control
analog / analogue control	la commande analogique		Control
analog filter	le filtre analogique		Electrical engineering
analog-to-digital converter (DAC)	un convertisseur analogique-numérique (CAN)		Electrical engineering
anti-aliasing filter	le filtre antirepliement		Electrical engineering
anti-windup mechanism	un dispositif anti-windup		Control
argument	l’argument		Mathematics
as a function of	en fonction de		Mathematics
attenuation	l’atténuation		Electrical engineering
automatic control	commande automatique		Control
autoregressive (AR)	autoregressif		Control
autoregressive moving average (ARMA)	autorégressif à moyenne mobile		Control
average	la moyenne		Statistics & probability
bandwidth	la bande passante		Electrical engineering
bandwidth	la largeur de bande		Control
behaviour	comportement		Control
behaviour of the control system	le comportement de l’asservissement 		Control
biased estimate	une estimation biaisée		Statistics & probability
bilateral / one-to-one	biunivoque		Mathematics
Black-Nichols locus / Black-Nichols plot	Le lieu de Black		Control
break frequency	la fréquence de cassure		Control
Bristol relative gains	les gains relatifs de Bristol		Control
bumpless transfer	le transfert sans à-coup		Control
burner	un bruleur		Process Engineering
by induction	par récurrence		Mathematics
causal	causal		Control
closed-loop system 	le système asservi en boucle fermée		Control
complex plane	le plan complexe		Mathematics
complex variable	la variable complexe		Mathematics
computational demand	le charge de calcul 		Control
condition number	nombre de conditionnement		Mathematics
confidence interval	un intervalle de confiance		Statistics & probability
constraint	une contrainte		Control
continuous domain	le domaine continu		Control
continuous signal	un signal continu		Electrical engineering
control algorithm	l’algorithme de commande		Control
control input/action	la commande 		Control
control loop	la boucle de contrôle		Control
control variable 	la variable contrôlée 		Control
controlled system	l'asservissement		Control
controller	le contrôleur		Control
convergence limit	le seuil de convergence		Mathematics
convolve	convoluer		Mathematics
cooling water	l'eau de refroidissement		Process Engineering
correlogram	le corrélogramme		Control
critical frequency	la fréquence critique.		Control
critically damped	à amortissement critique		Control
cumulative probability function	la fonction de répartition		Statistics & probability
curve	la courbe		Mathematics
cut-off frequency	la fréquence de coupure		Control
damped	amorti		Control
damping	l'amortissement		Control
damping coefficient	le coefficient d'amortissement		mal
data	les données		Control
data acquisition chain	la chaîne d’acquisition de données		Control
data reconstruction	Reconstruction de donnée		Electrical engineering
deadbeat controller	un régulateur à réponse pile		Control
decade	la décade		Control
decaying	amortie		Control
decentralised control	la commande décentralisée		Control
decoupling	le découplage		Control
definition limit	le seuil de définition		Mathematics
delay	le retard		Control
delay margin	le marge de gain		Control
density	la masse volumique		Process Engineering
differential equation	l'équation différentielle		Mathematics
digital control	la commande numérique		Control
digitial-to-analog converter (ADC)	un convertisseur numérique-analogique (CNA)		Electrical engineering
Dirac comb function	la fonction peigne de Dirac		Electrical engineering
discharge	la décharge 		Process Engineering
distortion	la distorsion		Electrical engineering
distributed control	la commande distribuée		Control
disturbance	la perturbation		Control
disturbance / perturbation	la perturbation		Control
dynamics	la dynamique		Control
energy balance	bilan d'énergie		Process Engineering
ergodicity	l'ergodicité		Statistics & probability
excitation	une excitation		Control
excite the process	faire réagir le procédé		Control
expectation (mathematical)	l'espérance (mathématique)		Statistics & probability
express mathematically	exprimer mathématiquement		Mathematics
factory / plant	l’usine		Process Engineering
feedback	la rétroaction		Control
feedback loop	une boucle de rétroaction		Control
filter	le filtre		Control
filtered setpoint	la consigne filtrée		Control
fine	finement 		Process Engineering
first principles	les principes fondamentaux		Control
flow rate	le debit		Process Engineering
Fourrier transform	la transformée de Fourrier		Mathematics
frequency of the transient oscillation	la fréquence de l'oscillation transitoire		Control
frequency response	la réponse en fréquences		Control
frequency response curves	la courbe de la réponse en fréquences		Control
frequency shift	un décalage fréquentiel		Electrical engineering
frequency(?)	la pulsation		Control
friction	le frottement		Mechanical engineering
full rank	rang complete		Mathematics
gain crossover frequency	la fréquence de gain croisé		Control
gain crossover frequency	not sure if there is a French term		Control
gain margin	la marge de gain		Control
gear	un engrenage		Mechanical engineering
graph	le graphique		Mathematics
grinding circuit	un circuit de broyage		Process Engineering
grinding media	corps broyant		Process Engineering
growing / amplified	amplifié		Control
growing function	une fonction croissante		Mathematics
hardness of the material	la dureté du solide		Process Engineering
harmonic test	essai harmonique		Control
heat	le chaleur		Process Engineering
heating element	un élément chauffant		Process Engineering
high frequencies	hautes fréquences		Control
identification	l’identification		Control
impulse	une impulsion		Control
impulse response	La réponse impulsionnelle		Control
